207,Miami Dolphins,DST,6.3,107
207,Cleveland Browns,DST,6.3,107
207,Pittsburgh Steelers,DST,6.3,107
207,New York Giants,DST,6.3,107
211,Los Angeles Chargers,DST,6.2,106
211,Minnesota Vikings,DST,6.2,106
213,Zach Wilson,QB,11.8,105.9
214,Michael Gallup,WR,7.5,105.4
215,Chase Claypool,WR,7,105
216,Kenyan Drake,RB,8.7,104.1
217,Los Angeles Rams,DST,6.1,104
217,Cairo Santos,K,6.5,104
217,Tennessee Titans,DST,6.1,104
220,Hunter Henry,TE,6.5,103.9
220,Josh Reynolds,WR,8.7,103.9
222,Demarcus Robinson,WR,6.5,103.8
223,Arizona Cardinals,DST,6.1,103
223,Tampa Bay Buccaneers,DST,6.1,103
225,DeVante Parker,WR,7.9,102.9
226,Harrison Butker,K,7.8,102
226,Denver Broncos,DST,6,102
228,Romeo Doubs,WR,7.8,101.6
229,Darnell Mooney,WR,9.2,101.5
230,Rashid Shaheed,WR,8.4,100.5
231,Isaiah Hodgins,WR,11.1,100.2
232,Matt Prater,K,7.6,99
233,Clyde Edwards-Helaire,RB,9.8,98.3
234,DJ Chark Jr.,WR,8.9,98.2
235,Mike Gesicki,TE,5.8,98.2
236,Detroit Lions,DST,5.8,98
237,Corey Davis,WR,7.5,97.6
238,Austin Hooper,TE,5.7,97.4
239,Chigoziem Okonkwo,TE,6.1,97.2
240,Nico Collins,WR,9.7,97.1
241,Chris Boswell,K,8.1,97
242,Cameron Dicker,K,8.5,94
243,Mecole Hardman Jr.,WR,11.7,93.8
244,Jaylen Warren,RB,5.8,93.3
245,Cade Otton,TE,5.8,93.1
246,Isaiah Likely,TE,6.5,91.3
247,Damien Harris,RB,8.3,90.9
248,Deshaun Watson,QB,15.1,90.6
249,Marquise Goodwin,WR,6.9,90.2
250,Eno Benjamin,RB,6.9,89.6
251,Sam Darnold,QB,14.9,89.3
252,Atlanta Falcons,DST,5.2,89
253,James Robinson,RB,8.1,88.6
254,Alexander Mattison,RB,5.2,88.4
255,Kendrick Bourne,WR,5.5,88.3
256,Elijah Moore,WR,5.5,88.1
256,Treylon Burks,WR,8,88.1
258,Kenneth Gainwell,RB,5.2,87.9
258,Rondale Moore,WR,11,87.9
260,Chuba Hubbard,RB,6.3,87.7
261,Melvin Gordon III,RB,8.7,87.1
262,Randy Bullock,K,5.4,87
263,Will Dissly,TE,5.8,86.9
264,Greg Dulcich,TE,8.6,86.1
265,Foster Moreau,TE,6.1,85.2
266,Allen Robinson II,WR,8.5,84.9
267,Darren Waller,TE,9.4,84.8
268,Quez Watkins,WR,5,84.5
268,Deon Jackson,RB,7,84.5
270,Ben Skowronek,WR,6,84.3
271,Trent Sherfield,WR,5.2,83.7
272,Terrace Marshall Jr.,WR,6.4,83
273,Nick Westbrook-Ikhine,WR,5.2,82.7
274,Jauan Jennings,WR,5.2,82.6
275,Randall Cobb,WR,6.3,81.7
276,Nyheim Hines,RB,5.1,81.4
277,J.K. Dobbins,RB,10.2,81.2
278,Hunter Renfrow,WR,7.9,79
279,Van Jefferson,WR,7.9,78.9
280,Mitch Trubisky,QB,11.3,78.9
281,Logan Thomas,TE,5.9,77.3
282,Dontrell Hilliard,RB,6.4,77.2
283,Las Vegas Raiders,DST,4.5,77
284,Kyle Pitts,TE,7.6,75.6
285,Nelson Agholor,WR,5,75.2
286,Daniel Bellinger,TE,6.8,75
287,Jelani Woods,TE,6.2,74.2
287,Chase Edmonds,RB,5.7,74.2
289,Darrell Henderson Jr.,RB,7.4,73.5
290,Laviska Shenault Jr.,WR,5.6,72.7
291,Jamal Agnew,WR,4.8,72.3
292,Rex Burkhead,RB,4.8,71.4
293,JaMycal Hasty,RB,5,70.5
294,Julio Jones,WR,7,70.4
295,Noah Gray,TE,4.1,70
295,Matthew Wright,K,11.7,70
297,Colby Parkinson,TE,4.9,69.2
298,Tyquan Thornton,WR,5.5,66.3
299,Dante Pettis,WR,3.8,65.2
300,Joshua Kelley,RB,5.4,64.8
301,Equanimeous St. Brown,WR,4,64.7
